config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
remove_HC,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_HC,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,revocation_compliance,proportional,215,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9824463845132672,1.0,,0.0,0.0,23112.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,hash_chain_integrity,proportional,71,0.014084507042253521,0.0,0.11783944035691205,0.0,1.0,0.0,0.04225352112676056,0.002490603270544213,0.07556050520249005,,-2.9037,-0.9859,35.5,0.0,True,Cohen's h=-2.9037 (large); Cliff's delta=-0.9859 (large),
remove_HC,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,runtime_integrity_score,composite,300,0.4950720631828606,0.5,0.011943197632307705,0.43376557335367405,0.5093896713615024,0.46509760316283666,0.5070422535211268,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-210.7892927575653 (large); Cliff's delta=-1.0 (large),
remove_HC,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_PE+RV,latency_ms,distributional,4500,0.22288048933333315,0.213958,0.08546416184493616,0.19175,5.396917,0.22099700144444445,0.2258682994388889,,,-6.9355,,-0.999,9827.5,0.0,True,Cohen's d=-6.9355 (large); Cliff's delta=-0.999 (large),
remove_PE+RV,runtime_overhead_ms,distributional,4500,0.0004644539999999795,0.000458,6.740877535685625e-05,0.000334,0.001959,0.00046261982777777774,0.00046651860000000006,,,-1.5154,,-0.989,111217.0,0.0,True,Cohen's d=-1.5154 (large); Cliff's delta=-0.989 (large),
